Pasal,Isi Pasal
Pasal 15,"Ayat (l)
Untuk menampung kemungkinan terjadinya suatu
Surat Ketetapan Pajak Kurang Bayar yang ternyata
telah ditetapkan lebih rendah atau pajak yang terutang
dalam suatu Surat Ketetapan Pajak Nihil ditetapkan
lebih rendah atau telah dilakukan pengembalian pajak
yang tidak seharusnya sebagaimana telah ditetapkan
dalam Surat Ketetapan Pajak Lebih Bayar, Direktur
Jenderal Pajak berwenang untuk menerbitkan Surat
Ketetapan Pajak Kurang Bayar Tambahan dalam jangka
waktu 5 (lima) tahun setelah saat terutangnya pajak
atau berakhirnya Masa Pajak, bagian Tahun Pajak atau
Tahun Pajak.
Surat Ketetapan Pajak Kurang Bayar Tambahan
merupakan koreksi atas surat ketetapan pajak
sebelumnya. Surat Ketetapan Pajak Kurang Bayar
Tambahan baru diterbitkan apabila sudah pernah
diterbitkan surat ketetapan pajak. Pada prinsipnya
untuk menerbitkan Surat Ketetapan Pajak Kurang
Bayar Tambahan perlu dilakukan pemeriksaan. Jikasurat ketetapan pajak sebelumnya diterbitkan
berdasarkan pemeriksaan, perlu dilakukan
pemeriksaan ulang sebelum menerbitkan Surat
Ketetapan Pajak Kurang Bayar Tambahan.
SK No097136ADengan . . .
PRESIOEN
REPUBLIK INDONESIA
-332-
Dengan demikian, Surat Ketetapan Pajak Kurang Bayar
Tambahan tidak dapat diterbitkan sebelum didahului
dengan penerbitan surat ketetapan pajak. Penerbitan
Surat Ketetapan Pajak Kurang Bayar Tambahan
dilakukan dengan syarat adanya data baru termasuk
data yang semula belum terungkap yang menyebabkan
penambahan pajak yang terutang dalam surat
ketetapan pajak sebelumnya. Sejalan dengan itu,
setelah Surat Ketetapan Pajak Lebih Bayar diterbitkan
sebagai akibat telah lewat waktu 12 (dua belas) bulan
sebagaimana dimaksud dalam Pasal l7B, Surat
Ketetapan Pajak Kurang Bayar Tambahan diterbitkan
hanya dalam hal ditemukan data baru termasuk data
yang semula belum terungkap. Dalam hal masih
ditemukan lagi data baru termasuk data yang semula
belum terungkap pada saat diterbitlannya Surat
Ketetapan Pajak Kurang Bayar Tambahan, dan/atau
data baru termasuk data yang semula belum terungkap
yang diketahui kemudian oleh Direktur Jenderal Pajak,
Surat Ketetapan Pajak Kurang Bayar Tambahan masih
dapat diterbitkan lagi.
Yang dimaksud dengan ""data baru"" adalah data atau
keterangan mengenai segala sesuatu yang diperlukanuntuk menghitung besarnya jumlah pajak yang
terutang yang oleh Wajib Pajak belum diberitahukan
pada waktu penetapan semula, baik dalam Surat
Pemberitahuan dan lampiran-lampirannya maupun
dalam pembukuan Wajib Pajak yang diserahkan'pada
waktu pemeriksaan.
Selain itu, yang termasuk dalam data baru adalah data
yang semula belum terungkap, yaitu data yang:
a. tidak diungkapkan oleh Wajib Pajak dalam Surat
Pemberitahuan beserta lampirannya (termasuk
laporan keuangan); dan/atau
b. pada waktu pemeriksaan untuk penetapan semula
Wajib Pajak tidak mengungkapkan data dan/atau
memberikan keterangan lain secara benar,
lengkap, dan terinci sehingga tidak memungkinkan
frskus dapat menerapkan ketentuan peraturan
perundang-undangan perpajakan dengan benar
dalam menghitung jumlah pajak yang terutang.
Walaupun . . .
SK No097137A
PFTESIOEN
REPUBLIK INDONESIA
-333-
Walaupun Wajib Pajak telah memberitahukan data
dalam Surat Pemberitahuan atau mengungkapkannyapada waktu pemeriksaan, tetapi apabila
memberitahukannya atau mengungkapkannya dengan
cara sedemikian rupa sehingga membuat fiskus tidak
mungkin menghitung besarnya jumlah pajak yang
terutang secara benar sehingga jumlah pajak yang
terutang ditetapkan kurang dari yang seharusnya, hal
tersebut termasuk dalam pengertian data yang semula
belum terungkap.
Contoh:
1. Dalam Surat Pemberitahuan dan/ atau laporan
keuangan tertulis adanya biaya iklan
Rp I 0.000.000,00, (sepuluh juta rupiah) sedangkan
sesungguhnya biaya tersebut terdiri atas
Rp5.O0O.0OO,0O (lima juta rupiah) biaya iklan di
media massa dan Rp5.0OO.0O0,O0 (lima juta
rupiah) sisanya adalah sumbangan atau hadiah
yang tidak boleh dibebankan sebagai biaya.
Apabila pada saat penetapan semula Wajib Pajak
tid'ak mengungkapkan perincian tersebut sehingga
Iiskus tidak melakukan koreksi atas pengeluaran
berupa sumbangan atau hadiah sehingga pajak
yang terutang tidak dapat dihitung secara benar,
data mengenai pengeluaran berupa sumbangan
atau hadiah tersebut tergolong data yang semula
belum terungkap.
2. Dalam Surat Pemberitahuan dan/atau laporan
keuangan disebutkan pengelompokan harta tetap
yang disusutkan tanpa disertai dengan perincian
harta pada setiap kelompok yang dimaksud,
demikian pula pada saat pemeriksaan untukpenetapan semula Wajib Pajak tidak
mengungkapkan perincian tersebut sehinggafiskus tidak dapat meneliti kebenaran
pengelompokan dimaksud, misalnya harta yang
seharusnya termasuk dalam kelompok harta
berwujud bukan bangunan kelompok 3, tetapi
dikelompokkan ke dalam kelompok 2. Akibatnya,
atas kesalahan pengelompokan harta tersebut
tidak dilakukan koreksi, sehingga pajak, yang
terutang tidak dapat dihitung secara benar.
SK No 097138 AApabila. . .
PRESlDEN
REPUBLIK INDONESIA
-334-
Apabila setelah itu diketahui adanya data yang
menyatakan bahwa pengelompokan harta tersebut
tidak benar, data tersebut termasuk data yang
semula belum terungkap.
3. Pengusaha Kena Pajak melakukan pembelian
sejumlah barang dari Pengusaha Kena Pajak lain
dan atas pembelian tersebut oleh Pengusaha Kena
Pajak penjual diterbitkan faktur pajak. Barang-
barang tersebut sebagian digunakan untuk
kegiatan yang mempunyai hubungan langsung
dengan kegiatan usahanya, seperti pengeluaran
untuk kegiatan produksi, distribusi, pemasarErn,
dan manajemen, dan sebagian lainnya tidak
mempunyai hubungan langsung. Seluruh faktur
pajak tersebut dikreditkan sebagai Pajak Masukan
oleh Pengusaha Kena Pajak pembeli.
Apabila pada saat penetapan semula Pengusaha Kena
Pajak tidak mengungkapkan rincian penggunaan
barang tersebut dengan benar sehingga tidak dilaliukan
koreksi atas pengkreditan Pajak Masukan tersebut oleh
fiskus, sebagai akibatnya Pajak Pertambahan Nilai yang
terutang tidak dapat dihitung secara benar. Apabila
setelah itu diketahui adanya data atau keterangan
tentang kesalahan mengkreditkan Pajak Masukan yang
tidak mempunyai hubungan langsung dengan kegiatan
usaha dimaksud, data atau keterangan tersebut
merupakan data yang semula belum terungkap.
Ayat (2)
Ayat (3)
Ayat (4)Cukup je1as.Dalam hal setelah diterbitkan surat ketetapan pajak
ternyata masih ditemukan data baru termasuk datayang semula belum terungkap yang belum
diperhitungkan sebagai dasar penetapan tersebut, atas
pajak yang kurang dibayar ditagih dengan Surat
Ketetapan Pajak Kurang Bayar Tambahan ditambah
sanksi administratif berupa kenaikan sebesar 100%o
(seratus persen) dari pajak yang kurang dibayar.
SK No097139ADihapus.
Ayat(s)...
PRESIDEN
REPUBLIK INDONESIA
-335-
Ayat (5)
Cukup jelas.
Angka 5"
"Pasal 14 ayat (2), Pelaku Usaha mengajukan","permohonan persetujuan kesesuaian kegiatan
pemanfaatan ruang untuk kegiatan usahanya kepada
Pemerintah Pusat melalui sistem Perizinan Berusaha
secara elektronik sesuai dengan ketentuan peraturan
perundang-undangan.
(21 Pemerintah Pusat memberikan persetujuan kesesuaian
kegiatan pemanfaatan ruang sebagaimana dimaksud
pada ayat (1) sesuai dengan rencana tata ruang.
(3) Rencana tata ruang sebagaimana dimaksud pada ayat
(2) terdiri atas:
a. rencana tata ruang wilayah nasional;
b. rencana tata rrrang pulau/kepulauan;
c. rencana tata rrrang kawasan strategis nasional;
d. rencana tata rrrang wilayah provinsi; dan/atau
e. rencana tata ruang wilayah kabupaten/kota."
Pasal 16,"Ayat (1)
Cukup jelas.
SK No 097201 AAyat(2)...
PRESIDEN
REPI.JELIK INDONESIA
-377 -
Ayat (2)
Yang dimaksud dengan ""praktik yang batk (good
practicesl"" adalah sesuai standar atau ketentuan yang
berlaku secara internasional.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (s)
Cukup jelas.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.
Angka 2"
Pasal 17,"Huruf a
Cukup jelas.
Huruf b
Cukup jelas.
Huruf c
Standar pengelolaan di KEK mengatur antara lain
standar infrastruktur dan pelayanan.
Huruf d
Cukup jelas.
Huruf e
Cukup jelas.
Huruf f
Cukup jelas.
Huruf g
Yang dimaksud dengan ""permasalahan strategis"" antara
lain permasalahan yang tidak dapat diselesaikan oleh
Dewan Kawasan atau menyangkut kebijakan nasional
dan/atau daerah yang memengaruhi pelaksanaan
pengelolaan dan pengembangan KEK.
SK No 097183 AHuruf h. ..
PRESIDEN
REPI.JELIK INDONESIA
-359-
Huruf h
Cukup jelas.
Angka 12"
Pasal 6,"Cukup jelas.
Angka2"
Pasal 8,"Ayat (1)
Cukup jelas.Yang dimaksud dengan ""terintegrasi"" adalah upaya
mengarahkan dan menyinergikan antara lain dalam
pen5rusunan perencanaan, program, anggaran, dan Sumber
Daya Ilmu Pengetahuan dan Teknologi bidang Penelitian,
Pengembangan, Pengkajian, dan Penerapan untuk
menghasilkan Invensi dan Inovasi sebagai landasan ilmiah
dalam perumusan dan penetapan kebijakan pembangunan
nasional.
SK No 097285 AAyat(2)...
PRESIDEN
REPUELIK INDONESIA
-342-
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Huruf a
Cukup jelas.
Huruf b
Mekanisme pinjam pakai kawasan hutan
digunakan khusus untuk proyek-proyek yang
sifatnya tidak permanen.
Angka 2"
Pasal 9,Cukup jelas.
Pasal 10,"Cukup jelas.
Angka 4"
Pasal 14A,"Ayat (1)
Yang dimaksud dengan ""belum tersedia"" adalah jumlah
dan jadwal saat diperlukan kapal berbendera Indonesia
tersebut tidak tersedia atau belum mencukupi
kebutuhan.
Ayat (2)
Cukup jelas.
SK No 158398 AAngka5...
PRESIDEN
REPUBLIK INDONESIA
-194-
Angka 5"
Pasal 18,"Cukup jelas.
Angka 2"
Pasal 20,"Hurufa
Yang dimaksud dengan ""bertentangan dengan
ketertiban umum"" adalah tidak sejalan dengan
peraturan yang ada dalam masyarakat yang sifatnya
menyeluruh seperti menyinggung perasaan masyarakat
atau golongan, menyinggung kesopanan atau etika
umum masyarakat, dan menyinggung ketenteraman
masyarakat atau golongan.
Huruf b
Merek tersebut berkaitan atau hanya menyebutkan
barang dan/atau jasa yang dimohonkan
pendaftarannya.
Huruf c
Yang dimaksud dengan ""memuat unsur yang dapat
menyesatkan"" misalnya Merek ""Kecap No.1"" tidak dapat
didaftarkan karena menyesatkan masyarakat terkait
dengan kualitas barang, Merek ""netto 100 gram"" tidak
dapat didaftarkan karena menyesatkan masyarakat
terkait dengan ukuran barang.
Hurufd
Yang dimaksud dengan ""memuat keterangan yang tidak
sesuai dengan kualitas, manfaat, atau khasiat dari
barang dan/atau jasa yang diproduksi"" adalah
mencantumkan keterangan yang tidak sesuai dengan
kualitas, manfaat, khasiat, dan/ atau risiko dari produk
dimaksud. Contohnya: obat yang dapat menyembuhkan
seribu satu penyakit, rokok yang aman bagi kesehatan.
SK No 096551 AHuruf e. . .
PRESIDEN
REPUBLIK INOONESIA
-304-
Huruf e
Tanda dianggap tidak memiliki daya pembeda apabila
tanda tersebut terlalu sederhana seperti satu tanda
garis atau satu tanda titik, ataupun terlalu rumit
sehingga tidak jelas.
Huruf f
Yang dimaksud dengan ""nama umum"" antara lain
Merek ""rumah makan"" untuk restoran, Merek owarung
kopi"" untuk kafe. Adapun ""lambang milik umum"" antara
lain ""lambang tengkoralC untuk barang berbahaya,
lambang ""tanda racun"" untuk bahan kimia, ""lambang
sendok dan garpu"" untuk jasa restoran.
Huruf g
Cukup jelas.
Angka 2"
Pasal 23,"Ayat (1)
Huruf a
Cukup jelas.
Huruf b
Yang dimaksud dengan ""pelayanan non perizinan""
adalah segala bentuk kemudahan pelayanan
fasilitas fiskal, fasilitas non-fiskal dan informasi
mengenai penanaman modal, sesuai dengan
ketentuan peraturan perundang-undangan.
Contoh . . .
SK No097l84A
PRESIDEN
REPUBLIK INDONESIA
-360-
Contoh pelayanan non perizinan antara lain pajak,
kepabeanan, cukai, lalu lintas barang, dan
keimigrasian.
Huruf c
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Angka 17"
Pasal 25,"Cukup jelas.
Angka 2O"
Pasal 26,"Cukup jelas.
Angka 21
Pasal27
Ayat (l)
Cukup jelas.
Ayat (2)
Ayat (3)
Cukup jelas.
Ayat (4)
Ayat (s)
Cukup jelas.Pada wilayah yang tidak ditetapkan sebagai KEK,
terdapat ketentuan mengenai pembatasan impor.
Namun, ketentuan mengenai pembatasan impor
tersebut tidak dapat diberlakukan bagi barang yang
dimasukkan ke dalam KEK mengingat barang yang
dimasukkan ke dalam KEK digunakan untuk
pembangunan dan pengoperasian KEK. Apabila
pembatasan impor diberlakukan di KEK maka dapat
mengurangi daya saing KEK.
Yang dimaksud dengan usistem elektronik yang
terintegrasi secara nasional"" adalah integrasi sistem
secara nasional yang memungkinkan dilakukannya
penyampaian data dan informasi secara tunggal,
pemrosesan data dan informasi secara tunggal dan
sinkron, dan penyampaian keputusan secara tunggal
untuk pemberian perizinan sesuai dengan ketentuan
peraturan perundang-undangan.
SK No097186AAngka22. . .
PRESIDEN
REPUELIK INDONESIA
-362-
Angka22"
Pasal 34A,"Cukup jelas.Biaya hak penggunaan spektrum frekuensi radio
merupakan kompensasi atas penggunaan spektrum
frekuensi radio sesuai dengan izin yang diterima. Di
samping itu, biaya hak penggunaan spektrum frekuensi
radio dimaksudkan juga sebagai sarana pengawasan
dan pengendalian agar spektrum frekuensi radio
sebagai sumber daya alam terbatas dapat dimanfaatkan
semaksimal mungkin. Besarnya biaya hak penggunaan
spektrum frekuensi radio ditentukan berdasarkan jenis
dan lebar pita frekuensi radio. Jenis spektrum frekuensi
radio akan berpengaruh pada mutu penyelenggaraan,
sedangkan lebar pita frekuensi radio akan berpengaruhpada kapasitas/jumlah informasi yang dapat
dibawa/dikirimkan.
Cukup jelas."
Pasal 35,"Cukup jelas.
Angka 28"
Pasal 37,"Cukup jelas.
SK No 097141 AAngka3...
PRESIOEN
REPUBLIK INDONESIA
-337-
Angka 3"
Pasal 48,Cukup jelas.
Pasal 60,"Ayat (1)
Yang dimaksud dengan ""alat dan teknologi"" dalam
ketentuan ini adalah yang tidak bertentangan dengan
tindakan pengobatan tradisional yang dilakukan.
Ayat (2)
Cukup jelas.
Angka4...
SK No 158,141 A
PRESIDEN
REPUBLIK INDONESIA
-227 -
Angka 4"
Pasal 61,"Ayat (1)
Huruf a
Cukup jelas.
Huruf b
Cukup jelas.
Huruf c
Cukup jelas.
Hurufd
Cukup jelas.
Huruf e
Keadaan atau kejadian tertentu seperti bencana
alam, kerusuhan sosial, atau gangguan keamanan.
Ayat (21
Cukup jelas.'
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Yang dimaksud dengan ""hak-haknya sesuai dengan
ketentuan peraturan perundang-undangan atau hak-
hak yang telah diatur dalam Perjanjian Kerja, Peraturan
Perusahaan, atau Perjanjian Kerja Bersama' adalah
hak-hak yang harus diberikan yang lebih baik dan
menguntungkan Pekerja/Buruh yang bersangkutan.
Angka 17"
Pasal 62,Angka I
Pasal 61 huruf a yang mengakibatkan perubahan fungsi,"Ruang dikenai sanksi administratif.
31. Ketentuan Pasal 65 diubah sehingga berbunyi sebagai
berikut:"
Pasal 65,"Dihapus.
Angka 20"
Pasal 69,"Cukup jelas.
Angka 11"
Pasal 70,Angka 1
Pasal 71,"Angka 1
Pasal l1
Ayat (1)
Pemenuhan Perizinan Berusaha dalam
Penyelenggaraan Telekomunikasi dimaksudkan sebagai
upaya Pemerintah dalam rangka pembinaan untukmendorong pertumbuhan Penyelenggaraan
Telekomunikasi yang sehat.
Pemerintah memublikasikan secara berkala atas
daerah / wilayah yang terbuka untuk Penyelenggaraan
Jaringan Telekomunikasi dan/atau Penyelenggaraan
Jasa Telekomunikasi. Penyelenggaraan Telekomunikasi
wajib memenuhi persyaratan yang ditetapkan dalam
Perizinar: Berusaha.
Ayat(2) ...
SK No 158467A
PRESIDEN
REPUBLIK INDONES
-253-
Ayat (2)
Cukup jelas.
Angka 2"
Pasal 61 huruf c yang mengakibatkan perubahan fungsi,"Ruang dipidana dengan pidana penjara paling lama3 (tiga) tahun dan pidana denda paling banyak
Rp1.000.000.000,00 (satu miliar rrpiah).
35. Pasal 72 dihapus.
36. Ketentuan Pasal 73 diubah sehingga berbunyi sebagai
berikut:"
Pasal 73,Cukup jelas.
Pasal 75,Cukup jelas.
Pasal 7,"Cukup jelas.
Angka 3"
Pasal 5 terdiri atas:,"a. RZ Wilayah Pesisir dan pulau-pulau kecil yang
selanjutnya disebut dengan RZWP-3-K;
b. RZ Kawasan Strategis Nasional yang
selanjutnya disebut dengan RZ KSN; dan
c. RZ KSNT
(21 Batas wilayah perencanaan RZWP-3-K
sebagaimana dimaksud pada ayat (1) huruf a, RZ
KSN sebagaimana dimaksud pada ayat (1) huruf b,
danRZ KSNT sebagaimana dimaksud pada ayat (1)
huruf c ditetapkan oleh Pemerintah Pusat.
(3) Jangka waktu berlakunya perencanaan
Pengelolaan Wilayah Pesisir dan Pulau-Pulau Kecil
sebagaimana dimaksud pada ayat (1) selama 20
(dua puluh) tahun dan dapat ditinjau kembali
setiap 5 (lima) tahun.
(41 Peninjauan kembali perencanaan PengelolaanWilayah Pesisir dan Pulau-Pulau Kecil
sebagaimana dimaksud pada ayat (3) dapat
dilakukan lebih dari 1 (satu) kali dalam periode 5
(lima) tahun apabila tedadi perubahan lingkringan
strategis berupa:
a. bencana alam yang ditetapkan dengan
peraturan perundang-undangan ;
b. perubahan batas teritorial negara yang
ditetapkan dengan Undang-Undang;
c. perubahan batas wilayah daerah yang
ditetapkan dengan Undang-Undang; dan
d. perubahan kebijakan nasional yang bersifat
strategis.
(5) R2...
SK No 095885 A
PRESIDEN
REPUBLIK INDONESIA
-47 -
3(5) RZ KSN sebagaimana dimaksud pada ayat (1) huruf
b dan RZ KSNT sebagaimana dimaksud pada ayat
(1) huruf c ditetapkan dengan Peraturan Presiden.
(6) Perencanaan Pengelolaan Wilayah Pesisir, dan
Pulau-Pulau Kecil sebagaimana dimaksud pada
ayat (1) dilakukan dengan melibatkan Masyarakat.
Di antara Pasal 7 dan Pasal 8 disisipkan 3 (tiga) pasal,
yakni Pasal 7A, Pasal 78, dan Pasal 7C sehingga
berbunyi sebagai berikut:"
Pasal 7A,Cukup jelas.
Pasal 78,"Ayat (1)
Mempekerjakan lebih dari waktu kerja sedapat
mungkin harus dihindarkan karena Pekerja/Buruh
harus mempunyai waktu yang cukup untuk istirahat
dan memulihkan kebugarannya. Namun, dalam hal-hal
tertentu terdapat kebutuhan yang mendesak yang
harus diselesaikan segera dan tidak dapat dihindari
sehingga Pekerja/Buruh harus bekerja melebihi waktu
kerja.
Ayat (21
Cukup jelas.
Ayat (3)
Cukup jelas.
SK No 158492 AAyat(4)...
PRES]DEN
PUBLIK INDONESIA
-277 -
Ayat (4)
Cukup jelas.
Angka 25"
Pasal 7C,"Cukup jelas.
Angka 4"
Pasal 78 diatur dalam Peraturan Pemerintah.,"4. Pasal 8 dihapus.
5. Pasal 9 dihapus.
6. Pasal 10 dihapus
7. Pasal 11 dihapus
8. Pasal 12 dihapus
9. Pasal 13 dihapus
SK No 095887 A10. Pasal 14 dihapus.
1 1. Judul
PRESIDEN
REPUBLIK INDONESIA
-49-
11. Judul Bagian Kesatu pada Bab V diubah sehingga
berbunyi sebagai berikut:
Bagian Kesatu
Kesesuaian Kegiatan Pemanfaatan Ruang Laut
danPerizinan Berusaha
12. Ketentuan Pasal 16 diubah sehingga berbunyi sebagai
berikut:"
Pasal 16(1) Pemanfaatan ruang dari Perairan Pesisir wajib,"dilakukan sesuai dengan rencana tata ruang
danlatau RZ.
(21 Setiap Orang yang melakukan pemanfaatan ruang
dari Perairan Pesisir sebagaimana dimaksud pada
ayat (1) wajib memiliki kesesuaian kegiatan
pemanfaatan ruang laut dari Pemerintah Pusat.
13. Di antara Pasal 16 dan Pasal 17 disisipkan 1 (satu)
pasal, yakni Pasal 16A sehingga berbunyi sebagai
berikut:"
Pasal 16A,"Cukup je1as.
Angka 14"
Pasal 16 ayat (2) dikenai sanksi administratif.,"14. Ketentuan Pasal 17 diubah sehingga berbunyi sebagai
berikut:"
Pasal 17(1) Pemberian kesesuaian kegiatan pemanfaatan,"ruang laut sebagaimana dimaksud dalam Pasal 16
ayat (21 wajib mempertimbangkan kelestarian
Ekosistem Perairan Pesisir, Masyarakat, ndlayan
tradisional, kepentingan nasional, dan hak lintas
damai bagi kapal asing.
(21 Kesesuaian kegiatan pemanfaatan ruang laut tidak
dapat diberikan pada Zona inti di Kawasan
Konservasi di Wilayah Pesisir dan Pulau-Pulau
Kecil.
15. Di antara Pasal 17 dan Pasal 18 disisipkan 1 (satu)
pasal, yakni Pasal l7A sehingga berbunyi sebagai
berikut:
Pasal l7A. . .
SK No 095888 A
PRESIDEN
REPUBL!K INDONESIA
-50-"
Pasal 17A,"Cukup jelas.
Angka 7"
Pasal 22A,"Cukup jelas.
Angka 8"
Pasal 19 diberikan kepada:,"a. orang perseorangan warga negara Indonesia;
b. korporasi yang didirikan berdasarkan hukum
Indonesia;
c. koperasi yang dibentuk oleh Masyarakat; atau
d. Masyarakat Lokal.
(21 Pemanfaatan ruang Perairan Pesisir yang
dilakukan oleh instansi pemerintah dan tidak
termasuk dalam kebijakan nasional yang bersifat
strategis diberikan dalam bentuk konfirmasi
kesesuaian kegiatan pemanfaatan rLrang laut.
21. Ketentuan Pasal 228 diubah sehingga berbunyi sebagai
berikut:
SK No 095891 APasal22B...
PRESIDEN
REPUBLIK INDONESIA
-53-"
Pasal 228,"Orang perseorangan warga negara Indonesia atau
korporasi yang didirikan berdasarkan hukum Indonesia
dan koperasi yang dibentuk oleh Masyarakat yang
mengajukan pemanfaatan laut wajib memenuhi
kesesuaian kegiatan pemanfaatan ruang laut dan
Perizinan Berusaha dari Pemerintah Pusat.
22. Ketentuan Pasal 22C diubah sehingga berbunyi sebagai
berikut:"
Pasal 22C,"Ketentuan lebih lanjut mengenai Perizinan Berusaha
terkait pemanfaatan di laut diatur dalam Peraturan
Pemerintah.
23. Ketentuan Pasal 26A diubah sehingga berbunyi sebagai
berikut:"
Pasal 26A,"Cukup jelas.
Angka24"
Pasal 26E},"Setiap Orang yang tidak memitiki Perizinan Berusaha
dalam memanfaatkan pulau-pulau kecil dan
pemanfaatan perairan di sekitarnya dalam rangka
penanaman modal asing sebagaimana dimaksud dalam"
Pasal 26A dikenai sanksi administratif.,"SK No 095892A25. Ketentuan
PRESIDEN
REPUBLIK INDONESIA
-54-
25. Ketentuan Pasal 50 diubah sehingga berbunyi sebagai
berikut:"
Pasal 50,"Ayat (1)
Cukup jelas.
Ayat (21
Yang dimaksud dengan swasta termasuk usaha mikro,
kecil, dan menengah.
Ayat (3)
Cukup jelas.
Angka 8"
Pasal 51,"Cukup jelas.
Angka 3"
Pasal 19 ayat (1) dikenai sanksi administratif.,"29. Di antara Pasal 71 dan Pasal 72 disisipkan 1 (satu)
pasal, yakni Pasal 7lA sehingga berbunyi sebagai
berikut:"
Pasal 71A,"Cukup jelas.
Angka 30"
"Pasal 16A, Pasal268, dan PasalTl dapat berupa:","a. peringatan tertulis;
b. penghentiansementarakegiatan;
c. penutupan lokasi;
d. pencabutan Perizinan Berusaha;
e. pembatalanPerizinan Berusaha; dan/atau
f. denda administratif.
SK No 095895 A(2) Ketentuan...
PRESIDEN
REPUBLIK INDONESIA
-57 -
(2) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
30. Di antara Pasal 73 dan Pasal 74 disisipkan 1 (satu)
pasal, yakni Pasal 73A sehingga berbunyi sebagai
berikut:"
Pasal 73A,"Cukup jelas.
Angka 3l"
Pasal 19,"Cukup jelas.
Angka 13"
Pasal 32,"Ayat
Ayat
Ayat
Ayat
Ayat(1)
Cukup jelas.
(21
Cukup je1as.
(3)
Yang dimaksud dengan ""pemanfaatan barang kena
pajak tidak berwujud serta jasa kena pajak di KEK
adalah pemanfaatan baik yang berasal dari dalam KEK
sendiri ataupun yang berasal dari KEK lainnya, luar
daerah pabean, tempat lain dalam daerah pabean,
kawasan bebas, dan tempat penimbunan berikat.
(4)
Cukup jelas.
(s)
Cukup jelas.
Angka 25"
Pasal 42,"Cukup jelas.
Angka 12"
Pasal 43,"Ayat (1)
Yang dimaksud dengan ""lembaga kerja sama tripartit
khusus' adalah lembaga kerja 'sama tripartit yang
berada di KEK.
Ayat (2)
Cukup jelas.
Angka 34"
Pasal 43A. . .,"SK No 095901 A
PRESIDEN
REPUBLIK INDONESIA
-63-"
Pasal 43A,"Ayat (1)
Cukup jelas.
Ayat(2) ...
SK No 137404A
PRESlDEN
REPUELIK INDONESIA
-41 -
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (s)
Perencanaan ruang Laut menggunakan sifat komplementer
antarhasil perencanaan nrang. Jika dalam dokumen
perencanaan ruang yang lebih rinci tidak terdapat alokasi
ruang atau pola ruang untuk suatu kegiatan pemanfaatan
ruang Laut maka menggunakan rencana tata ruang atau
rencana zonasi kawasan antarwilayah.
Angka 6"
Pasal 47,"Yang dimaksud dengan ""Perjanjian Kerja Bersama"" adalah
Perjanjian Kerja Bersama yang dibuat oleh Serikat
Pekerja/ Serikat Buruh atau beberapa Serikat Pekerja/ Serikat
Buruh yang telah tercatat pada instansi yang bertanggung
jawab di bidang Ketenagakerjaan dengan Pengusaha.
Angka 37"
Pasal 47 A,"(1) Kesesuaian kegiatan pemanfaatan ruang Laut
sebagaimana dimaksud dalam Pasal 47 diberlkan
berdasarkan rencana tata ruang dan/atau rencana
zonasi.
(21 Kesesuaian kegiatan pemanfaatan ruang Laut
sebagaimana dimaksud pada ayat (1) diberikan
untuk kegiatan:
a.biofarmakologi...7
SK No 095903 A
8PRESIDEN
REPUBLIK INDONESIA
-65-
a. biofarmakologi Laut; t
b. bioteknologi Laut;
c. pemanfaatan air Laut selain energi;
d. wisata bahari;
e. pengangkatan benda muatan kapal
tenggelam;
f. telekomunikasi;
g. instalasi ketenagalistrikan;
h. perikanan;
i. perhubungan;
j. kegiatan usaha minyak dan gas bumi;
k. kegiatan usaha pertambangan mineral dan
batu bara;
l. pengumpulan data dan penelitian;
m. pertahanan dan keamanan;
n. penyediaan sumber daya air;
o. Pulau buatan;
p. dumping;
q. mitigasi bencana; dan
r. kegiatan pemanfaatan ruang Laut lainnya.
(3) Ketentuan lebih lanjut mengenai kegiatan
pemanfaatan ruang Laut sebagaimana dimaksud
pada ayat (21diatur dalam Peraturan Pemerintah.
Ketentuan Pasal 48 diubah sehingga berbunyi sebagai
berikut:"
Pasal 49,Dihapus.
Pasal 49A,Cukup jelas.
Pasal 49 dapat berupa:,"a. peringatan tertulis;
b. penghentian sementara kegiatan;
c. penutupan lokasi;
d. pencabutan Perizinan Berusaha;
e. pembatalan Perizinan Berusaha; dan f atau
f. denda administratif.
(21 Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah."
Pasal 49B,Cukup jelas.
Pasal 28,"Ayat (l)
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Angka 8"
Pasal 55,"Cukup jelas.
Angka 6"
